#,,,,,,,,
Bo Horvat,Center,Apr 5 1995,London ONT,6,223,L,,
2016-17,Vancouver Canucks,57,0,5,5,33,,
#,,,,,,,,
Derek Dorsett,Right Wing,Dec 20 1986,Kindersley SASK,6,192,R,,
2008-09,Columbus Blue Jackets,52,4,1,5,150,,
2009-10,Columbus Blue Jackets,51,4,10,14,105,,
2010-11,Columbus Blue Jackets,76,4,13,17,184,,
2011-12,Columbus Blue Jackets,77,12,8,20,235,,
2012-13,Columbus Blue Jackets,24,3,6,9,53,,
2013-14,New York Rangers,51,4,4,8,128,,
2014-15,Vancouver Canucks,79,7,18,25,175,,
2015-16,Vancouver Canucks,71,5,11,16,177,,
2016-17,Vancouver Canucks,14,1,3,4,33,,
#,,,,,,,,
Nikolay Goldobin,Left Wing,Oct 7 1995,Moscow Russia,5.11,185,L,,
2015-16,San Jose Sharks,9,1,1,2,0,,
2016-17,Vancouver Canucks,12,3,0,3,0,,
#,,,,,,,,
Alex Biega,Defense,Apr 4 1988,Montreal PQ,5.1,187,R,,
2014-15,Vancouver Canucks,7,1,0,1,0,-2,
2015-16,Vancouver Canucks,51,0,7,7,22,-11,
2016-17,Vancouver Canucks,36,0,3,3,18,-4,
#,,,,,,,,
Drew Shore,Center,Jan 29 1991,Denver CO,6.03,205,R,,
2012-13,Florida Panthers,43,3,10,13,14,,
2013-14,Florida Panthers,24,5,2,7,8,,
2014-15,Calgary Flames,11,1,2,3,0,,
2015-16,Calgary Flames,2,0,1,1,2,,
2016-17,Vancouver Canucks,14,0,2,2,4,,
#,,,,,,,,
Anton Rodin,Right Wing,Nov 21 1990,Stockholm Sweden,5.11,181,L,,
2016-17,Vancouver Canucks,3,0,1,1,0,,
#,,,,,,,,
Jake Virtanen,Right Wing,Aug 17 1996,New Westminster BC,6.01,229,R,,
2015-16,Vancouver Canucks,55,7,6,13,45,,
2016-17,Vancouver Canucks,10,0,1,1,2,,
#,,,,,,,,
Ryan Miller,Goalie,Jul 17 1980,East Lansing MI,6.02,168,L,,
2005-06,Buffalo Sabres,48,1,2.6,0.914,,,
2006-07,Buffalo Sabres,63,2,2.73,0.911,,,
2007-08,Buffalo Sabres,76,3,2.64,0.906,,,
2008-09,Buffalo Sabres,59,5,2.53,0.918,,,
2009-10,Buffalo Sabres,69,5,2.22,0.929,,,
2010-11,Buffalo Sabres,66,5,2.59,0.916,,,
2011-12,Buffalo Sabres,61,6,2.54,0.916,,,
2012-13,Buffalo Sabres,40,0,2.81,0.915,,,
2013-14,Buffalo Sabres,40,0,2.72,0.923,,,
2014-15,Vancouver Canucks,45,6,2.53,0.911,,,
2015-16,Vancouver Canucks,51,1,2.7,0.916,,,
2016-17,Vancouver Canucks,54,3,2.8,0.914,,,
#,,,,,,,,
Mike Zalewski,Left Wing,Aug 18 1992,New Hartford NY,6.02,205,L,,
2013-14,Vancouver Canucks,2,0,1,1,0,,
2015-16,Vancouver Canucks,3,0,1,1,2,,
2016-17,Vancouver Canucks,1,0,0,0,0,,
#,,,,,,,,
Evan McEneny,Defense,May 22 1994,Hamilton ONT,6.02,203,L,,
2016-17,Vancouver Canucks,1,0,0,0,0,-1,
#,,,,,,,,
Borna Rendulic,Right Wing,Mar 25 1992,Zagreb Croatia,6.02,200,R,,
2016-17,Vancouver Canucks,1,0,0,0,0,,
#,,,,,,,,
Alexandre Grenier,Right Wing,Sep 5 1991,Laval PQ,6.05,200,R,,
2015-16,Vancouver Canucks,6,0,0,0,2,,
2016-17,Vancouver Canucks,3,0,0,0,0,,
#,,,,,,,,
Richard Bachman,Goalie,Jul 25 1987,Salt Lake City UT,5.1,183,R,,
2011-12,Dallas Stars,18,1,2.77,0.909,,,
2012-13,Dallas Stars,13,0,3.25,0.885,,,
2013-14,Edmonton Oilers,3,0,3.02,0.916,,,
2014-15,Edmonton Oilers,6,1,2.84,0.911,,,
2015-16,Vancouver Canucks,1,0,3.01,0.903,,,
2016-17,Vancouver Canucks,5,0,2.64,0.92,,,
#,,,,,,,,
Griffen Molino,Forward,Jan 21 1994,Trenton MI,5.11,171,L,,
2016-17,Vancouver Canucks,5,0,0,0,0,,
#,,,,,,,,
Joseph Cramarossa,Center,Oct 26 1992,Toronto ONT,6.01,192,L,,
2016-17,Anaheim Ducks,49,4,6,10,51,,
2016-17,Vancouver Canucks,10,0,0,0,9,,
#,,,,,,,,
Joe Labate,Center,Apr 16 1993,Burnsville MN,6.05,210,L,,
2016-17,Vancouver Canucks,13,0,0,0,21,,
#,,,,,,,,
Jacob Markstrom,Goalie,Jan 31 1990,Gavle Sweden,6.06,196,L,,
2012-13,Florida Panthers,23,0,3.22,0.901,,,
2013-14,Florida Panthers,12,0,3.52,0.874,,,
2014-15,Vancouver Canucks,3,0,3.08,0.879,,,
2015-16,Vancouver Canucks,32,0,2.73,0.915,,,
2016-17,Vancouver Canucks,25,0,2.63,0.91,,,
